127.0.0.1 - - [24/Sep/2019:11:13:04 +0800] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [24/Sep/2019:11:13:06 +0800] "GET /ssm-test-web/index.jsp HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [24/Sep/2019:11:13:52 +0800] "POST /ssm-test-web/student HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [24/Sep/2019:11:38:13 +0800] "GET /MyBookStore/login.jsp HTTP/1.1" 200 1363
0:0:0:0:0:0:0:1 - - [24/Sep/2019:11:38:13 +0800] "GET /MyBookStore/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:11:38:13 +0800] "GET /MyBookStore/images/button_search.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:11:38:13 +0800] "GET /MyBookStore/images/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:11:38:13 +0800] "GET /MyBookStore/images/button_login.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:11:38:13 +0800] "GET /MyBookStore/images/login_lock.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:11:38:13 +0800] "GET /MyBookStore/images/button_register.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:11:38:22 +0800] "GET /MyBookStore/login.jsp HTTP/1.1" 200 1363
0:0:0:0:0:0:0:1 - - [24/Sep/2019:11:38:23 +0800] "GET /MyBookStore/css/style.css HTTP/1.1" 200 6132
0:0:0:0:0:0:0:1 - - [24/Sep/2019:11:38:23 +0800] "GET /MyBookStore/images/logo.gif HTTP/1.1" 200 4002
0:0:0:0:0:0:0:1 - - [24/Sep/2019:11:38:23 +0800] "GET /MyBookStore/images/button_search.gif HTTP/1.1" 200 644
0:0:0:0:0:0:0:1 - - [24/Sep/2019:11:38:23 +0800] "GET /MyBookStore/images/login_lock.gif HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [24/Sep/2019:11:38:23 +0800] "GET /MyBookStore/images/button_login.gif HTTP/1.1" 200 2362
0:0:0:0:0:0:0:1 - - [24/Sep/2019:11:38:23 +0800] "GET /MyBookStore/images/button_register.gif HTTP/1.1" 200 1693
0:0:0:0:0:0:0:1 - - [24/Sep/2019:11:38:23 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
